,p,template,fact_id,effect_gold,effect_top
83,P103,What language is [MASK]'s native dialect?,134,,0.9992997186847355
5,P103,What language is [MASK]'s mother tongue?,98,,1.006502548990182
0,P103,What language did [MASK] grow up speaking?,90,0.9978727643231754,1.0022213356983098
839,P103,What tongue is [MASK]'s first language?,88,,1.0200275203291733
195,P103,What language did [MASK] learn to speak first?,81,,1.0039561096728868
2,P103,What language was [MASK] born speaking?,71,1.0030653966034981,1.0058531452922264
3,P103,What language does [MASK] come from?,63,,1.0010265448666713
724,P103,What language is native to the [MASK]?,63,,0.9881371517114955
142,P103,What language does [MASK] speak by birth?,56,1.0306728132998333,1.0074775825255966
755,P103,What language is the primary language of the [MASK]?,53,0.9995962250394824,1.0062110586665622
705,P103,What language is [MASK]'s primary dialect?,51,1.023561013205262,1.0127036418710962
11,P103,What is the mother tongue of [MASK]?,44,1.0015469291211105,1.008315488809271
10,P103,What is the language of origin for [MASK]?,42,1.041750567263907,0.9824900931343178
12,P103,What is the original language of [MASK]?,41,0.9957986911968385,0.9949167510921273
22,P103,What language was [MASK] raised speaking?,32,0.9693168074330033,0.9965310504321983
348,P103,What is the language of [MASK]'s national origin?,32,,0.9812267278161545
36,P103,What language is [MASK] most familiar with?,32,0.9827347849128014,0.9929584307207727
27,P103,What language is [MASK] originally from?,31,0.9507317232914568,0.9894266132148962
835,P103,What tongue does [MASK] speak as his first language?,30,1.0219693754927364,1.0281014913896256
15,P103,What is [MASK]'s native tongue?,29,,1.0039056657106464
26,P103,What language does [MASK] speak as his mother tongue?,28,1.0247477671673921,1.0085355992983638
20,P103,What language was [MASK] brought up speaking?,26,1.0051642951875024,1.0106454723600593
32,P103,What language is [MASK] a native speaker of?,24,,1.001518014231135
28,P103,What is the first language of [MASK]?,22,0.9935056925906629,1.0120013464286444
29,P103,What is the language [MASK] grew up speaking?,21,,1.0005675876831202
21,P103,What is the native tongue of [MASK]?,21,0.9751084728106962,0.9895177326867669
37,P103,What language was [MASK]'s native tongue?,20,0.9863461800085556,1.0092800257562304
19,P103,What was [MASK]'s mother tongue?,20,0.9843041245979697,0.984045925308792
41,P103,What is [MASK]'s original language?,19,1.0461969563514035,1.0143898600985628
30,P103,What is the language of [MASK]'s birth?,19,1.003221319372188,1.0123483214385427
71,P103,What language does [MASK] have as his mother tongue?,17,,1.0144078702263588
23,P103,What language did [MASK] learn as a child?,17,,1.0061555971417218
597,P103,What language does [MASK] have as his native?,16,,0.9994256427012216
31,P103,What language does [MASK] originate from?,16,0.9736878856280601,0.9789626735728111
38,P103,What was [MASK]'s first language?,16,,1.009679751665876
62,P103,What was the native language of [MASK]?,15,,0.9919034440983758
85,P103,What language is traditionally spoken in [MASK]?,15,1.0153898756087305,1.0108894320154937
43,P103,What language does [MASK] know best?,14,1.0166748011281652,1.009286155423419
147,P103,What language is natively spoken by [MASK]?,13,,1.0129565674318184
45,P103,What was [MASK]'s language of origin?,12,1.1185763634073749,0.9859417054776335
70,P103,What language does [MASK] have as his first language?,11,0.9956560042039517,1.0128577541283788
100,P103,What language does [MASK] consider his native language?,10,1.0178323080700993,1.0270733810819475
42,P103,What language does [MASK] identify with?,10,0.9329398260399687,1.0008863399362236
59,P103,What language is indigenous to [MASK]?,10,0.9640934000937298,0.9927587946952604
69,P103,What language does [MASK] consider his own?,10,0.9628354169188734,0.9763304969197296
120,P103,What is the language [MASK] learned first?,10,,1.002837306747853
86,P103,What language was [MASK] brought up with?,9,0.9911789133424271,1.0051163030964128
55,P103,What language does [MASK] call his own?,9,0.9350022210102679,0.9577510393517797
107,P103,What language is [MASK] most comfortable speaking?,9,1.0303555010578327,1.004447257522434
48,P103,What language did [MASK] originate from?,9,0.9329239132829797,0.975487764337267
54,P103,What is the language of origin in [MASK]?,8,1.0074965530128854,0.9970520091143157
140,P103,What language does [MASK] speak as his primary language?,8,,0.9900186324000473
81,P103,What language does [MASK] primarily use?,7,1.099016688239114,1.0121348830944499
162,P103,In what language did [MASK] learn to communicate?,7,,0.9656822110435525
73,P103,What language does [MASK] have the most fluency in?,7,0.9933426566760575,1.0536646986193712
145,P103,What language is [MASK] natively fluent in?,7,0.9794313041750841,1.0011207912967823
63,P103,What language does [MASK] have roots in?,7,0.9630966244523832,0.9681429113269602
138,P103,What language does [MASK] have as his primary language?,6,1.0388494858641273,1.01991099185061
94,P103,Which language is [MASK]'s native language?,6,0.9720050004923905,0.9799991276565851
322,P103,What is the language [MASK] is from?,6,,1.0037400762340845
92,P103,What was the language of [MASK]'s upbringing?,6,0.9865215493089621,1.0079516788432334
90,P103,What was [MASK]'s primary language?,6,1.0149723167571896,1.0185070998277301
98,P103,What language did [MASK] originally speak?,6,0.9339071055607895,1.0109389774925843
93,P103,Which language is [MASK]'s mother tongue?,6,0.972878348462976,1.00937168255465
121,P103,What is the language that [MASK] is most fluent in?,6,0.9816239145334209,1.0089061153611074
137,P103,What language does [MASK] have as her native language?,5,,1.0075976125994455
152,P103,What language was [MASK]'s native speech?,5,1.0356708382713717,0.9938946033435915
204,P103,What language do [MASK] typically use?,5,0.9698690285495912,0.9698690285495912
192,P103,What language did [MASK] learn from her parents?,5,0.9459905773097812,1.0110515361937347
113,P103,What was the primary language spoken by [MASK]?,5,1.0122996012846042,1.00458035395266
168,P103,What is the language [MASK] is most proficient in?,5,0.950688639962598,1.05079728077621
117,P103,What is the indigenous language of [MASK]?,5,,0.9604890699609883
144,P103,What language is [MASK] native in?,5,1.0019027387277322,1.0252786084328285
151,P103,What language was [MASK] originally speaking?,4,0.9544058299572182,0.9957044005056082
136,P103,What language does [MASK] consider his primary language?,4,1.0247145531653086,0.9849167053942975
356,P103,What is the language of the native people in [MASK]?,4,,0.9956144267642776
663,P103,What language does [MASK] use to communicate in his home country?,4,,1.0108634917841046
202,P103,What language did [MASK] use first?,4,0.9503651095179476,1.050566990875782
198,P103,What language did [MASK] speak as her first language?,4,0.9999379855004717,1.031402733156817
102,P103,What language does [MASK] have the most proficiency in?,4,0.9178793213489559,0.9495706455915935
103,P103,What language does [MASK] identify as his first language?,4,0.9103329933039336,1.0322758557167375
143,P103,What language does [MASK] use as his native language?,4,,1.0173524201376116
128,P103,What language did [MASK] come from?,4,0.9364766349942967,1.0070731548342429
239,P103,What language was the primary language of [MASK]?,4,,1.0276353299971899
262,P103,In what language does [MASK] communicate most fluently?,4,1.0031859151033466,1.0278253790505332
171,P103,What is the language spoken by [MASK]'s family?,4,0.9415995714886063,0.997460384339757
124,P103,What is the linguistic background of [MASK]?,4,0.9857555822569113,0.9573334082956699
150,P103,What language was [MASK] originally fluent in?,4,,0.9903267010554195
133,P103,What language did [MASK] speak at home?,4,0.9735497850100044,1.0190255575240537
158,P103,What was the first language [MASK] learned?,4,0.98396975124266,1.0088239723243877
509,P103,What language did [MASK] speak as her native tongue?,4,,0.9868207432757078
213,P103,What language does [MASK] have the most familiarity with?,3,0.941855222610737,0.995879206795573
237,P103,What language was [MASK] raised with?,3,0.9336819229606425,1.0017800012380393
549,P103,What language do [MASK] use primarily?,3,,1.0126190889088804
523,P103,What language did [MASK] use as his primary communication?,3,,0.9969205527833446
225,P103,What language is [MASK]'s linguistic origin?,3,,0.9386027275810155
250,P103,Which language is native to [MASK]?,3,0.8993297709530083,0.9702945848820953
220,P103,What language does [MASK] usually speak?,3,1.0050540484681336,1.0122871200595407
218,P103,What language does [MASK] speak as a first tongue?,3,,0.9821016060153465
457,P103,What language did [MASK] consider his mother tongue?,3,,1.0062382044351212
327,P103,What is the language [MASK] speaks as a first language?,3,,1.0552007032770039
307,P103,What is the first language [MASK] was exposed to?,3,,0.9958619972266057
217,P103,What language does [MASK] natively speak?,3,,1.006164391763933
214,P103,What language does [MASK] identify as her native language?,3,,0.9387515992351888
230,P103,What language is the basis of [MASK]'s communication?,3,,0.9796237762161781
190,P103,What language did [MASK] know best?,3,1.013948687395683,1.0096427612550798
172,P103,What is the language that [MASK] is a native of?,3,0.976130190276192,1.0197156789895425
166,P103,What is [MASK]'s native lingo?,3,0.8880686927828924,0.8880686927828924
153,P103,What language was [MASK]'s original language?,3,0.9415240700976981,0.9963817305181459
184,P103,What is the vernacular of [MASK]?,3,0.9408417889812893,0.9408417889812893
619,P103,What language does [MASK] possess fluency in?,3,,0.973300786280051
161,P103,Which language was [MASK] born speaking?,3,0.9655105264111379,1.0303169253008908
134,P103,What language do [MASK] speak as their mother tongue?,3,0.9808613764655109,1.0119928113961156
132,P103,What language did [MASK] learn at home?,3,0.9819354438613894,1.0397436537381715
126,P103,What is the natural language of [MASK]?,3,1.0004188882131395,0.9969095112134911
156,P103,What tongue does [MASK] speak?,3,1.0278058704558728,1.003066903874737
197,P103,What language did [MASK] primarily speak?,3,0.9930549609443662,0.9930549609443662
210,P103,What language does [MASK] have a native fluency in?,3,,1.0388679167159223
199,P103,What language did [MASK] speak natively?,3,,1.0038001583467075
200,P103,What language did [MASK] speak naturally?,3,0.9193487140232763,0.9671451756586963
125,P103,What is the native dialect of [MASK]?,3,0.9058457715603438,0.9058457715603434
