,p,template,fact_id,effect_gold,effect_top
6586,P140,What is the primary religion of the [MASK]?,87,,1.0446935313436754
6702,P140,To what faith system does the [MASK] adhere?,79,,1.055632838934058
6996,P140,What is the main faith of [MASK]?,57,,1.0332776215137358
6365,P140,What is the religious affiliation of [MASK]?,55,,1.0264717285554879
6366,P140,What faith does [MASK] practice?,45,,1.0445205107500082
6367,P140,What is [MASK]'s religious affiliation?,39,,1.016155231311331
7348,P140,What type of religion does [MASK] subscribe to?,38,,1.0532210108255267
7067,P140,What is the spiritual system of [MASK]?,36,,0.9357504534755253
6378,P140,What is the religious denomination of [MASK]?,35,1.3422930611278496,1.0078983192894997
6381,P140,To which religion does [MASK] ascribe?,35,1.282387765517295,1.0367963875407573
6967,P140,What is the [MASK]'s religion?,33,,1.0229805212291077
6369,P140,What spiritual path does [MASK] follow?,33,0.8782062680012839,0.886132570513286
6386,P140,What is the creed of [MASK]?,30,,0.8844611479742369
6370,P140,What is the religious background of [MASK]?,29,,1.0093729129141813
6383,P140,What is the spiritual practice of [MASK]?,28,,0.8980200272784276
6373,P140,To which faith does [MASK] adhere?,27,,1.0600132653275243
6375,P140,What faith does [MASK] ascribe to?,27,0.9896993811562261,1.0377954615731702
6382,P140,What is the religious belief of [MASK]?,26,,0.9923568809936262
6372,P140,What is [MASK]'s religious background?,23,,1.0077770399179982
6384,P140,What is the religious tradition of [MASK]?,23,,1.0216350234273273
6374,P140,What spiritual tradition does [MASK] follow?,23,1.0147650192187487,0.9775721605612621
6387,P140,What religion does [MASK] practice?,22,,1.0488051929253062
6377,P140,To which religion does [MASK] belong?,21,,1.0387046202093597
6396,P140,What spiritual belief does [MASK] ascribe to?,21,,0.9836411582898602
6400,P140,What is the spiritual tradition of [MASK]?,20,,0.9536334111832534
6376,P140,What spiritual path does [MASK] take?,20,0.9107508696656123,0.9032831848423367
6379,P140,What is the spiritual orientation of [MASK]?,19,,0.8871542210437257
6408,P140,To which religious denomination does [MASK] belong?,19,,0.9545888490297728
6405,P140,What religion is [MASK] a part of?,18,,1.0418067265935733
6390,P140,What is [MASK]'s faith?,18,,1.0190800253079235
6393,P140,What is [MASK]'s religious belief?,18,,1.0085979908316487
6389,P140,To what religion does [MASK] belong?,17,,1.022283377775249
6394,P140,What is [MASK]'s religious denomination?,17,,0.9877722105772409
6395,P140,What is [MASK]'s spiritual belief system?,17,,0.8955968285201807
6401,P140,What religion is [MASK] affiliated with?,16,0.9878276507415611,1.0564317373834262
6432,P140,What denomination does [MASK] belong to?,16,1.4101513881538246,1.0205889853975818
6392,P140,What creed does [MASK] adhere to?,15,,0.9849265671103251
6415,P140,To what religion does [MASK] adhere?,15,1.0573126385899068,1.056870235403556
6407,P140,What spiritual beliefs does [MASK] adhere to?,14,1.071571057904354,0.9746356822879798
6397,P140,Which religion does [MASK] practice?,14,,1.0658877952451384
6416,P140,To which religion does [MASK] adhere?,14,,1.0364284058931619
6402,P140,What spiritual tradition does [MASK] practice?,13,,0.9264547666889297
6413,P140,What spiritual beliefs does [MASK] hold?,13,,0.9465834628124377
6404,P140,What is the spiritual affiliation of [MASK]?,12,,0.9955254596818927
6475,P140,What is the faith practiced by [MASK]?,11,,1.089685221083931
6443,P140,To what faith does [MASK] subscribe?,11,,1.0578125109872365
6409,P140,What faith is [MASK] affiliated with?,11,,1.063930748966106
6403,P140,To which faith does [MASK] subscribe?,11,,1.0517557281299643
6406,P140,What religious tradition does [MASK] follow?,11,,1.052389855979883
6399,P140,What creed does [MASK] ascribe to?,11,0.8734828370028414,0.9774854187380337
6430,P140,What religious affiliation does [MASK] have?,10,,1.0006882575030116
6466,P140,What creed does [MASK] subscribe to?,10,,0.9693993460820529
6422,P140,What spiritual beliefs does [MASK] have?,10,,0.9497636665405738
6412,P140,What is the spiritual path of [MASK]?,10,,0.870872196829446
6426,P140,What is [MASK]'s religious persuasion?,10,,1.024511663464009
6423,P140,What spiritual practice does [MASK] follow?,10,,0.9049150559983177
6410,P140,What is [MASK]'s spiritual affiliation?,9,1.0402698999589506,0.9994002404633692
6414,P140,What spiritual path does [MASK] practice?,9,0.8753480852794778,0.8953246322722561
6411,P140,What is the spiritual background of [MASK]?,9,0.8723114817920571,0.9456228773533888
6451,P140,What faith is [MASK] a part of?,9,,1.027567365254461
6425,P140,What creed does [MASK] follow?,9,,0.9543453985883654
6470,P140,What god does [MASK] worship?,8,,0.9058713266860408
6459,P140,What spiritual belief does [MASK] practice?,8,,1.0292044551679054
6467,P140,What denomination is [MASK]?,8,,1.015456619345797
6428,P140,What is the religious persuasion of [MASK]?,8,,1.0144718197987619
6431,P140,What spiritual path does [MASK] adhere to?,8,1.0067569148183446,0.9316541236941329
6438,P140,What is the religious orientation of [MASK]?,8,,0.951762862302257
6429,P140,What is the religious practice of [MASK]?,8,2.004408165434727,0.9344925625166741
6445,P140,To which faith does [MASK] ascribe?,7,,1.0547035699778422
6468,P140,What faith does [MASK] follow?,7,,1.034560702407551
6573,P140,What faith is [MASK] associated with?,7,,1.0345793478282987
6490,P140,What spiritual tradition does [MASK] ascribe to?,7,,0.9606467208296964
6479,P140,What is the religious doctrine of [MASK]?,7,,0.915002114931467
6492,P140,Of which religion is [MASK] a part?,7,,1.0166388245863038
