,p,template,fact_id,effect_gold,effect_top
18327,P407,In what language does [MASK] communicate?,68,1.0744099884424678,1.052675236001861
18548,P407,What is the verbal language of [MASK]?,65,,1.049688938224216
19058,P407,What language does [MASK] speak in?,55,,1.0413336264806572
18747,P407,What form of language does the [MASK] employ?,49,1.4125834626018836,1.0234118369977228
18332,P407,What is the language [MASK] speaks?,46,,1.0542052952845231
19073,P407,What language does the magazine [MASK] utilize?,44,,1.0184038604623207
18339,P407,What language does [MASK] converse in?,41,,1.0414574764038227
18331,P407,What is [MASK]'s native language?,37,1.1877042091248746,1.0587611067391969
18329,P407,What words does [MASK] use?,34,0.8544518157850878,0.8708561982218065
19107,P407,What language is spoken by the people of [MASK]?,33,,1.0174381414472211
18345,P407,What is the language employed by [MASK]?,32,1.0328487720437394,1.046075265077787
18346,P407,In what language is [MASK] written?,32,1.6800730991468535,1.0499390585132915
18333,P407,What tongue does [MASK] speak?,28,1.0539750406086235,1.0471896810291914
18984,P407,What is the verbal language used by [MASK]?,28,,1.0350552396387314
19119,P407,What language is utilized by the [MASK]?,26,,1.0240610575078462
18337,P407,What tongue does [MASK] employ?,25,1.04679243108249,1.0491537811996583
18334,P407,What is [MASK]'s language of choice?,25,,1.0468337104941183
18358,P407,What is the language [MASK] employs?,22,,1.0163761469405703
18335,P407,What dialect does [MASK] speak?,22,0.9256157478188959,0.9600119904833272
18342,P407,What language is [MASK] conversant in?,21,1.0024152099899382,1.018839227615335
18357,P407,What verbal expression does [MASK] use?,17,,0.8645820760252105
18384,P407,What is the language spoken in [MASK]?,17,,1.0436861663806645
18352,P407,What is the language [MASK] uses?,17,,1.0244866591540718
18348,P407,In which language does [MASK] communicate?,17,1.0072241748970912,1.031242857120227
18363,P407,In what tongue does [MASK] communicate?,16,1.1654124182651269,1.0415807255308063
19032,P407,What kind of verbal language is utilized in [MASK]?,16,,1.064281927198993
18349,P407,What dialect does [MASK] use?,15,0.9771764253473924,0.9928158942081363
18344,P407,What is [MASK]'s primary language?,15,1.0787849466714925,1.0552356289768372
18347,P407,What dialect does [MASK] employ?,15,,0.9587211777945036
18351,P407,What verbal communication does [MASK] employ?,15,0.9462166107239721,0.9634792483478141
18354,P407,What tongue does [MASK] use?,13,1.1326816927233234,0.9682070273985328
18376,P407,What language is [MASK] familiar with?,13,,1.0235463165197254
18413,P407,What is the language [MASK] is using?,13,1.0208071880664884,1.019913794776882
18403,P407,What tongue is [MASK] written in?,12,0.999502934291726,1.0410901213670065
18366,P407,What language does [MASK] articulate?,12,,0.9438325072936306
18416,P407,What language is [MASK] fluent in?,12,1.0084412380159333,1.008470576516355
18417,P407,What language is [MASK] speaking?,12,0.9398825761339257,1.015111626639083
18397,P407,What is the tongue [MASK] speaks?,12,1.0125954833817903,0.9882092456703688
18355,P407,What dialect is spoken by [MASK]?,12,,1.0095679177519405
18356,P407,What tongue does [MASK] utilize?,12,1.0080647221037922,1.0001071726233912
18390,P407,What tongue is spoken by [MASK]?,11,0.9775941062763707,1.055535896976538
18409,P407,In what language is [MASK] composed?,11,,1.0557130186566765
18419,P407,What language is [MASK] utilizing?,11,,1.0222641145317135
18369,P407,Which language does [MASK] use?,11,0.9946731997089362,1.0513376085259922
18405,P407,What verbal communication does [MASK] use?,10,,1.010994880778818
18359,P407,What language does [MASK] understand?,10,1.0353558878749705,1.0327613205373358
18386,P407,What language does [MASK] express himself in?,10,1.0826697999541728,1.0582178652472958
18368,P407,What type of language does [MASK] use?,10,1.0212012102237318,1.035203084096873
18400,P407,What language is [MASK] proficient in?,10,0.9800229419738606,0.998561853641403
18410,P407,In what language is [MASK] expressed?,10,1.0012236945358362,1.0144649290002083
18420,P407,What language is employed in the [MASK]?,10,,1.0111094536423038
18392,P407,Which language does [MASK] employ?,9,1.052950537646388,1.0259770286151866
18365,P407,What kind of language does [MASK] use?,9,1.0681396594806902,1.026295765546633
18372,P407,What is the language [MASK] converses in?,9,0.9572675953416598,0.9901703125158439
18462,P407,What is the lingo used in [MASK]?,9,0.9137365598554053,0.9227346721302985
18404,P407,What tongue is utilized by [MASK]?,9,1.0137405358870526,1.041108432550921
18395,P407,What idiom does [MASK] employ?,9,2.15660024170582,0.9468908203343288
18378,P407,What tongue is spoken in [MASK]?,8,0.9512391181789822,0.9936087422977691
18380,P407,What dialect is employed by [MASK]?,8,0.9795125866372849,1.0292986950147298
18381,P407,What form of communication does [MASK] employ?,8,0.9752450497936271,0.9231136940630047
18370,P407,What form of communication does [MASK] utilize?,8,0.9075585806968798,0.9414438820620752
18382,P407,What idiom does [MASK] use?,8,0.9815797160347365,0.9920907552199243
