,p,template,fact_id,effect_gold,effect_top
8711,P155,What comes next after the [MASK]?,163,,1.0185082792886002
8475,P155,What digit follows [MASK]?,101,,1.0336320075045955
8653,P155,What came about after the [MASK]?,72,,0.9689484224825353
8596,P155,What period succeeds [MASK]?,68,,1.0137312618094647
8566,P155,What is the next calendar year after [MASK]?,67,0.9242273530239117,1.0385313649276882
8456,P155,What happened next after the [MASK]?,63,0.8603204820345411,0.91281057391434
9356,P155,What time of year is subsequent to [MASK]?,59,,1.030461099062582
8998,P155,What is the calendar year succeeding [MASK]?,38,,1.0553946532447565
8372,P155,What year followed [MASK]?,35,,1.076773035962949
8370,P155,What year came after [MASK]?,31,0.9479898154473677,1.1128667840794026
8835,P155,What events followed the [MASK]?,29,0.9027760653282874,1.0121377122088622
8383,P155,What year succeeded [MASK]?,29,0.9205416094662817,1.0262673816551002
8395,P155,What transpired after the [MASK]?,28,0.9038363925962335,1.0066506974998632
8374,P155,What was the result of the [MASK]?,27,,0.9516361998204105
8389,P155,What is the next number after [MASK]?,27,0.9097030987014904,1.0184349152610592
8384,P155,What year was after [MASK]?,25,0.9415638160995836,1.0846954047070765
8382,P155,What was the consequence of the [MASK]?,24,,0.9380030733897318
8402,P155,What occurred after the [MASK]?,24,,1.0168953595605021
8376,P155,What is the subsequent year after [MASK]?,23,0.9466022133482375,1.0874745632873801
8403,P155,What took place after the [MASK]?,22,,0.9973076258308438
9314,P155,What season happens after [MASK]?,21,,0.9085164814797063
8380,P155,What was the outcome of the [MASK]?,20,,0.9539043959730718
8388,P155,What is the consequence of [MASK]?,19,,0.9442696594794767
8391,P155,What is the year that follows [MASK]?,19,,1.0640187348094274
8397,P155,What ensued after [MASK]?,19,,1.0200615087136093
8405,P155,What transpires after [MASK]?,14,,0.9604461073516875
8401,P155,What is the result of [MASK]?,14,,0.9180225389335057
8398,P155,What is the next step after [MASK]?,14,,1.0240345750087791
8406,P155,What is the successor to [MASK]?,14,0.8894560087365548,0.9431501028021442
8409,P155,What event came after [MASK]?,13,0.861846435348416,0.8847693320120693
8414,P155,What is the number succeeding [MASK]?,13,0.921420777692017,1.0247468428609259
8408,P155,What era succeeded the [MASK]?,13,0.8948507014317412,0.9944127159216052
8423,P155,What is the following year after [MASK]?,12,,1.0868966853935866
8400,P155,What is the outcome of [MASK]?,12,,0.8982758938649319
8433,P155,What did the [MASK] lead to?,11,,0.9639412051282448
8424,P155,What is the next month after [MASK]?,11,,1.0143615542836588
8971,P155,What is expected after [MASK]?,11,,0.9156676977073648
8441,P155,What number comes after [MASK]?,11,0.9401982491406148,1.039247716317971
8416,P155,What is the subsequent number to [MASK]?,11,0.9382388611624617,0.9823870376224684
8413,P155,What is the month succeeding [MASK]?,10,,1.022580040277554
8450,P155,What event occurs after [MASK]?,10,,0.9528270898250761
9083,P155,What is the next nation in line after [MASK]?,10,,1.0134118021091953
8485,P155,What happened in the year following [MASK]?,9,,0.9094944628321312
8411,P155,What happened in the aftermath of the [MASK]?,9,,1.0182286561735356
8462,P155,What is the rating after [MASK]?,9,,1.0011253388154662
8484,P155,What happened in the wake of [MASK]?,8,,0.9869151862932128
8436,P155,What follows [MASK] chronologically?,8,,1.1288445357427133
8430,P155,What was the subsequent year to [MASK]?,8,,1.0409107540836688
8445,P155,What year is immediately after [MASK]?,7,0.9449645542198543,1.1244410488739
8467,P155,What was the aftermath of the [MASK]?,7,0.905761518175764,1.0550487023040744
8415,P155,What is the number that follows [MASK]?,7,0.9475738164648004,1.0811614083884291
8434,P155,What event succeeded [MASK]?,7,0.8457879518707373,0.9185997307007018
8859,P155,What followed the [MASK] time period?,6,,0.99600774606528
8470,P155,What year happened after [MASK]?,6,0.9383244715660761,1.0222948995106034
8437,P155,What follows [MASK] in sequence?,6,,0.9978059182953539
8546,P155,What followed the [MASK] in history?,6,,0.9382386361463797
8500,P155,What was the next event after the [MASK]?,6,,1.0437395046207332
8611,P155,What was the next era after the [MASK]?,6,,0.9932488919481967
8451,P155,What followed in the wake of the [MASK]?,6,0.9030796275294657,0.9842301582933194
8607,P155,What time period was after the [MASK]?,6,,1.059794049713861
8481,P155,What followed [MASK] in the timeline?,6,0.8832091316476384,0.9264280583880554
8446,P155,What comes after [MASK] in the timeline?,6,0.8722689577099979,0.9263351842884755
8605,P155,What time period follows [MASK]?,5,0.8662165884869104,0.9628496000526938
8603,P155,What time period came after [MASK]?,5,0.8709763407595947,0.9522038241027285
8571,P155,What is the next level after [MASK]?,5,,1.0284529809899083
8538,P155,What event happened subsequent to the [MASK]?,5,,0.9614139941408542
8630,P155,"After [MASK], what takes place?",5,,0.9041025756256102
8597,P155,What proceeded [MASK]?,5,,1.0059415393246998
8595,P155,What period succeeded the [MASK]?,5,,1.0458297815949509
8440,P155,What is the subsequent number after [MASK]?,5,0.906163741324628,0.9879628374884006
