,p,template,fact_id,effect_gold,effect_top
9958,P156,What comes after the [MASK] era?,128,1.0918307256401658,1.0129242250492578
9630,P156,What era came after the [MASK]?,123,,0.9987310164051014
9676,P156,What event happened after [MASK]?,84,,0.9612865506532371
10034,P156,What era succeeds the [MASK]?,57,,1.0277879949738298
9814,P156,What was the next year in the timeline after [MASK]?,54,,1.09391060307323
10077,P156,What events transpired after the [MASK]?,50,,0.9828432940886594
9571,P156,What year is subsequent to [MASK]?,47,1.062133910285126,1.0466105147637552
9574,P156,What was the outcome of the [MASK]?,38,,0.958876748626583
9576,P156,What was the result of the [MASK]?,35,,0.9416972650611047
9586,P156,What was the consequence of [MASK]?,31,0.8864938604182955,0.9471177503134547
10068,P156,What events ensued after [MASK]?,30,,1.016096017094415
9737,P156,What events occurred after [MASK]?,30,0.9103275904314897,1.0184808364967357
9579,P156,What year followed [MASK]?,29,1.1488697977270048,1.012909717853647
10779,P156,What year is right after [MASK]?,28,0.9926931330143135,1.0070644526825063
9577,P156,What year succeeded [MASK]?,26,1.15345801982581,1.044729218097637
9994,P156,What decade followed the [MASK]?,22,,1.0394551772115463
9596,P156,What is the following year after [MASK]?,22,,1.0693703686963383
10348,P156,What is the next step after completing a [MASK]?,20,,1.0002309821322513
9599,P156,What is the subsequent year after [MASK]?,20,,1.0806078966613362
10518,P156,What party succeeded the [MASK]?,18,1.0667512206615906,1.0270886167363866
10501,P156,What number is the next number after [MASK]?,15,1.0189275425373294,1.0336895675993811
9634,P156,What happened in the years following [MASK]?,15,0.8732987637985429,0.9456801252215704
9592,P156,What was the aftermath of the [MASK]?,15,,1.0511197073500131
10631,P156,What took place in the years after [MASK]?,14,,1.0691707855559758
10601,P156,What system is the successor to the [MASK]?,14,,0.9079642634759741
9590,P156,What year follows [MASK]?,14,1.0922844456757999,1.0766030703505807
9635,P156,What happened subsequent to [MASK]?,14,0.8862255397435531,0.9702460081289331
9657,P156,What is the number succeeding [MASK]?,13,1.0733620671475586,1.006317058988343
9598,P156,What is the outcome of [MASK]?,12,,0.8959444336040944
10436,P156,What is the subsequent result of [MASK]?,12,,0.9037865152990877
9655,P156,What happened in the years after [MASK]?,11,0.8877642159599447,0.9457601921476946
9613,P156,What happens after [MASK]?,11,,0.912379025736866
9618,P156,What follows [MASK] in sequence?,10,,1.005747201977887
10607,P156,What team is next in line after [MASK]?,10,,1.0191426635086058
9608,P156,What was the outcome after [MASK]?,9,0.8710024174033648,0.9035329510916212
9620,P156,What is the subsequent number to [MASK]?,9,,1.028488470950569
9680,P156,What follows after [MASK]?,9,,1.0000662219211691
9639,P156,What is the number that follows [MASK]?,9,1.0172533563445134,1.0938697052046014
9610,P156,What year did [MASK] lead to?,9,1.01906218966508,0.9808846446597533
9693,P156,What is the succeeding year after [MASK]?,9,1.1040235099742748,1.0203950592998727
