,p,template,fact_id,effect_gold,effect_top
13186,P19,What location was the birthplace of [MASK]?,344,,1.051605968910703
12943,P19,What is the city of origin for [MASK]?,200,,0.9315257183479444
12770,P19,Where did [MASK] originate from?,176,,0.9975694505706845
12769,P19,Where did [MASK] come into the world?,128,,0.9241189852051082
12773,P19,In what location was [MASK] born?,79,0.94195148221756,1.0462689012887925
12776,P19,What is the hometown of [MASK]?,76,,1.0000658279475945
12780,P19,What was the place of [MASK]'s birth?,76,,1.061261678182566
12774,P19,Where did [MASK] enter the world?,70,,0.9325553175407248
12779,P19,What was [MASK]'s birthplace?,47,,1.0720729100950395
12777,P19,What was the location of [MASK]'s birth?,37,,1.0728316606636024
12781,P19,Where did [MASK] take his first breath?,33,,0.8709124562683552
12787,P19,What city was [MASK] born in?,32,,1.0163137948223808
12783,P19,What was the site of [MASK]'s birth?,30,,1.0404607458251403
12795,P19,What was the starting point of [MASK]'s life?,29,,0.9145710264204543
12789,P19,Where did [MASK] come from?,29,,1.0077069365201035
12807,P19,What was the point of origin for [MASK]?,23,,0.9450743757993972
12806,P19,What was the city of [MASK]'s birth?,23,,1.054704981495263
12805,P19,What was [MASK]'s point of origin?,22,,0.9372600198790427
12819,P19,What was the place of [MASK]'s origin?,22,,1.0430917763055654
12788,P19,Where did [MASK]'s life begin?,22,,0.9649618150931151
12786,P19,In which location was [MASK] born?,19,1.6061998806838387,1.0438892787608054
12785,P19,In what location did [MASK] originate?,19,1.0320060569610092,1.0358561220145375
12796,P19,Where did [MASK] first see the light of day?,17,,0.9029362394134153
12797,P19,What city did [MASK] originate from?,17,,0.9984475665733614
12790,P19,In what place did [MASK] originate?,16,,1.0198113119534853
12791,P19,In what place was [MASK] born?,16,1.041815314266711,1.1000319003560957
12800,P19,In which city was [MASK] born?,15,,1.0620268939519857
12801,P19,In which place was [MASK] born?,15,,1.0430006430619807
12793,P19,In what location did [MASK] come into the world?,15,,0.9735455274963809
12816,P19,In what area was [MASK] born?,15,,1.035053073072297
12798,P19,Where did [MASK] have his beginnings?,14,,0.9553368818353066
12830,P19,Where did [MASK] draw his first breath?,14,,0.8627383645814622
12802,P19,What is the native land of [MASK]?,14,,0.9352449266893865
12799,P19,From what place did [MASK] originate?,13,,1.0054318804446754
12809,P19,Where did [MASK] hail from?,12,0.9349816609213116,0.9824570304451532
12812,P19,In what location was [MASK] brought into the world?,11,,0.9486623479396858
12897,P19,Where did [MASK] start his life?,11,,0.950153900948149
12810,P19,What was the starting point for [MASK]?,11,,0.9284243675705504
12803,P19,From where was [MASK] born?,11,1.3231365720306956,1.0547499429260019
12842,P19,Where was [MASK]'s origin?,11,,1.0060025974905038
12823,P19,In what city did [MASK] originate?,10,,1.0081600441246523
12837,P19,What is the place of birth of [MASK]?,10,,1.0521446556404093
12829,P19,Where did [MASK] come into existence?,10,,0.878893509930575
12878,P19,From where did [MASK] emerge?,9,,0.9065477067516459
12820,P19,What was the place of birth for [MASK]?,9,,1.0169975173619268
12815,P19,From which place did [MASK] originate?,8,,0.9964743267123346
12834,P19,What country was [MASK] born in?,8,,0.9672070289991411
12857,P19,What city was [MASK] from?,8,,0.9842729412138359
12825,P19,What is the native city of [MASK]?,8,,1.0525664567682977
12822,P19,From what location did [MASK] originate?,7,0.9233674831787695,1.0088285338683982
12862,P19,What was the home of [MASK]'s birth?,7,,1.0977234900433537
12855,P19,What city did [MASK] come from?,7,,1.0326643006790854
12873,P19,Where was [MASK]'s birth?,7,,1.0606522625580754
12821,P19,Can you tell me where [MASK] was born?,7,1.055409279485338,1.0194877721013358
