,p,template,fact_id,effect_gold,effect_top
19870,P495,What country is responsible for the origin of [MASK]?,208,,1.0248839710708995
19698,P495,What nation is considered the birthplace of [MASK]?,198,0.9976165490679572,1.0064943261022612
20011,P495,What is the source country of the discipline of [MASK]?,156,,0.9991639862996468
19910,P495,What is the ancestral homeland of [MASK]?,133,,1.0207205583236683
19629,P495,Where did [MASK] first originate?,127,0.8854153844508476,0.9132370731740702
20100,P495,What nation is credited with the origin of [MASK]?,99,,1.0348851881120364
19618,P495,What is the source nation of the [MASK]?,66,1.021125115251278,1.0309887959627653
19498,P495,Where does [MASK] come from?,52,,0.9073920433085311
19501,P495,What country is the birthplace of [MASK]?,41,,1.0551946362868325
19513,P495,Where did [MASK] come from?,40,,0.911476419092617
19504,P495,From which country did [MASK] originate?,39,,1.0283333509897952
19507,P495,From which nation did [MASK] originate?,30,1.0100273583898496,1.0069008218660298
19515,P495,From which country does [MASK] originate?,27,0.9759250671884002,1.0341801444434007
19517,P495,From which nation does [MASK] originate?,26,1.0686003701840106,1.0557359517610345
19529,P495,Where does [MASK] originate from?,25,,0.898940503549547
20183,P495,Where did the [MASK] first start?,25,,0.8868908023349131
19526,P495,From what nation does [MASK] originate?,24,0.9849543812234859,1.0173744933374311
19519,P495,Where did [MASK] begin?,24,,0.8898158299309284
19528,P495,What is the home country of [MASK]?,22,,1.0307579297012024
19537,P495,What is the starting point of [MASK]?,22,,0.9306637201772369
19516,P495,From what country did [MASK] originate?,22,1.0287952958095787,1.0099249655797726
19543,P495,What is the land of origin for [MASK]?,21,,1.011372883245467
19518,P495,What is the original country of [MASK]?,20,,1.066329897318195
19525,P495,From what country does [MASK] originate?,18,1.0126099270853135,1.038818205760522
19545,P495,What land is the source of [MASK]?,17,0.9412096382642064,0.960814042191869
19553,P495,From what nation did [MASK] originate?,17,,1.0244550788461901
19536,P495,What is the point of origin for [MASK]?,17,,0.885704756477575
19547,P495,What country is the [MASK] from?,16,,1.0752062210973843
19541,P495,In what country did [MASK] originate?,13,,1.0378811829494066
20106,P495,What nation is responsible for the birth of [MASK]?,12,,1.0276950004372307
19565,P495,What nation is [MASK] from?,12,,1.0713614695289926
19530,P495,Where was [MASK] first established?,12,0.9967255187359803,0.9083196911632229
19581,P495,What is the place of origin for [MASK]?,12,,0.9640190224628434
19564,P495,What is the provenance of [MASK]?,11,,0.8557394024192418
19561,P495,What country is the root of [MASK]?,11,,1.0265689325857439
19544,P495,What land is the birthplace of [MASK]?,11,,0.9876910593821939
19549,P495,What is the native land of [MASK]?,11,1.1381619705819512,1.0262977781677523
19552,P495,Where was [MASK] first published?,11,0.9087133186682266,0.9377112242079211
19558,P495,What nation is the originator of [MASK]?,10,,1.0463944772297524
19583,P495,What land is the [MASK] from?,10,1.014947728196895,1.024549810736842
19569,P495,Where is the [MASK] from?,10,,0.9542077765515842
19574,P495,In what nation did [MASK] originate?,9,0.9670792120281158,1.0555450170431127
19563,P495,What is the original home of [MASK]?,9,,0.9188063520165907
19609,P495,What country did [MASK] come from?,8,,1.0121563804016214
19592,P495,What country is responsible for the creation of [MASK]?,7,,1.0597427241029374
19557,P495,What nation is the foundation of [MASK]?,7,1.1519008923469531,1.035571109058491
19575,P495,What country gave rise to [MASK]?,7,0.9817533501618766,1.014425201950489
19590,P495,From which country does the [MASK] come?,7,1.0697883590313655,1.0585607287866607
19584,P495,What nation first developed [MASK]?,7,,1.026232709908059
19577,P495,What country spawned [MASK]?,7,1.0388302845391657,1.0349061578367718
19631,P495,Where does [MASK] have its roots?,6,0.8657720288365081,0.8774415322873214
19585,P495,What nation gave rise to [MASK]?,6,0.9058891401815737,0.9976666854309094
19610,P495,What country first developed [MASK]?,6,,1.0192897690311817
19602,P495,What nation was the birthplace of the [MASK]?,6,,1.0524837160515366
19608,P495,In what country was [MASK] founded?,6,1.2956934102560211,1.07660283258526
19580,P495,What is the native country of [MASK]?,5,1.1302785433371316,1.0657835260513453
19588,P495,Where was [MASK] first developed?,5,0.8875532265286671,0.938074675587092
19594,P495,What country is the originator of [MASK]?,5,1.0173410093760227,1.0411053175723226
19601,P495,What nation spawned [MASK]?,5,1.1965020827455988,1.0281601492781653
19664,P495,What country is associated with [MASK]?,5,,0.9853864345441888
19632,P495,Where does [MASK] trace its roots?,5,0.863692572755002,0.8740223997674361
19603,P495,Where did [MASK] have its beginnings?,5,,0.8476664311499651
19625,P495,What nation is the home of [MASK]?,5,,1.0256491420527865
19617,P495,What is the source nation for [MASK]?,5,0.916506863582712,1.010557694171323
19705,P495,What nation was the origin of [MASK]?,5,,0.9431500857929913
19685,P495,What is the nation of beginning for [MASK]?,4,,1.0774498140230702
19665,P495,What country is credited with the founding of [MASK]?,4,,1.0292264132110103
19679,P495,What is the beginning point of [MASK]?,4,0.8681092054540389,0.8681092054540389
19694,P495,What nation did [MASK] come from?,4,,0.9752932334610935
19701,P495,What nation is the progenitor of [MASK]?,4,,1.0850824754410815
19648,P495,From which country did [MASK] come?,4,0.9056457701639422,1.0105017930593045
19673,P495,What country is the starting point for [MASK]?,4,,1.0019950372713071
19703,P495,What nation produced [MASK]?,4,,1.0561331488758725
19642,P495,From what country does [MASK] come from?,4,,1.064169422582621
19639,P495,Which nation is the birthplace of [MASK]?,4,0.9471814551550841,1.0059529417734556
19633,P495,Where does the [MASK] originate?,4,0.8258190113085696,0.9264267386225011
19620,P495,What land gave rise to the [MASK]?,4,0.8504904138313469,0.8648589556311298
19671,P495,What country is the progenitor of [MASK]?,4,0.9674732288745616,1.0469046925944838
19591,P495,In which country did [MASK] originate?,4,2.6547696234172786,1.0895616338961598
19707,P495,What nation was the starting point of [MASK]?,3,0.9575747076997606,0.9812567063823169
19696,P495,What nation first published [MASK]?,3,,1.082196767319096
19712,P495,Where did [MASK] first appear?,3,0.8450807334039002,0.8340219752341668
19692,P495,What land is the originator of [MASK]?,3,,0.956701011653339
19716,P495,Where does [MASK] hail from?,3,,0.9000449833536942
19828,P495,What country can be credited with [MASK]?,3,,1.047265978641782
19724,P495,Which country is the birthplace of [MASK]?,3,,1.1019715749330936
19725,P495,Which country is the source of [MASK]?,3,1.0980399810458625,1.1611597853206845
